holiday_date,holiday_name
2021-01-01,New Year's Day
2021-02-12,Chinese New Year
2021-02-26,Makha Bucha
2021-04-06,Chakri Day
2021-04-12,Songkran Holiday
2021-04-13,Songkran
2021-04-14,Songkran Holiday
2021-04-15,Songkran Holiday
2021-05-03,Labour Day (in lieu)
2021-05-04,H.M. King's Coronation
2021-05-10,Royal Ploughing Ceremony
2021-05-26,Visakha Bucha Day
2021-06-03,H.M. Queen's Birthday
2021-07-25,Buddhist Lent
2021-07-26,Asahna Bucha Day (in lieu)
2021-07-28,H.M. King's Birthday
2021-08-12,Mother's Day
2021-08-12,H.M. Queen Mother's Birthday
2021-09-24,Prince Mahidol Day
2021-10-13,The Passing of King Bhumibol
2021-10-22,Chulalongkorn Day
2021-12-05,Father's Day
2021-12-06,King Bhumibol's Birthday
2021-12-10,Thailand Constitution Day
2021-12-31,New Year's Eve
2022-01-01,New Year's Day
2022-01-03,New Year's Day (in lieu)
2022-02-16,Makha Bucha
2022-04-06,Chakri Day
2022-04-13,Songkran
2022-04-14,Songkran
2022-04-15,Songkran
2022-05-01,Labour Day
2022-05-02,Labour Day (in lieu)
2022-05-04,H.M. King's Coronation
2022-05-13,Royal Ploughing Ceremony
2022-05-16,Visakha Bucha Day
2022-06-03,H.M. Queen's Birthday
2022-07-13,Asahna Bucha Day
2022-07-14,Buddhist Lent
2022-07-15,Public Holiday
2022-07-28,H.M. King's Birthday
2022-07-29,Public Holiday Holiday
2022-08-12,Mother's Day
2022-08-12,H.M. Queen Mother's Birthday
2022-09-24,Prince Mahidol Day
2022-10-13,The Passing of King Bhumibol
2022-10-14,Public Holiday
2022-10-23,Chulalongkorn Day
2022-10-24,Chulalongkorn Day (in lieu)
2022-11-16,Special Public Holiday
2022-11-17,Special Public Holiday
2022-11-18,Special Public Holiday
2022-12-05,King Bhumibol's Birthday
2022-12-05,Father's Day
2022-12-10,Thailand Constitution Day
2022-12-12,Thailand Constitution Day (in lieu)
2022-12-30,Public Holiday
2022-12-31,New Year's Eve
2023-01-01,New Year's Day
2023-01-02,New Year's Day (in lieu)
2023-03-06,Makha Bucha
2023-04-06,Chakri Day
2023-04-13,Songkran
2023-04-14,Songkran
2023-04-15,Songkran
2023-04-17,Songkran
2023-05-01,Labour Day
2023-05-04,Coronation Day
2023-05-05,Coronation Day (bridge day)
2023-05-17,Royal Ploughing Ceremony
2023-06-03,Visakha Bucha Day
2023-06-03,H.M. Queen's Birthday
2023-06-05,H.M. Queen's Birthday (in lieu)
2023-06-05,Visakha Bucha Day (in lieu)
2023-07-28,H.M. King's Birthday
2023-07-31,Special Holiday
2023-08-01,Asahna Bucha Day
2023-08-02,Buddhist Lent
2023-08-12,Mother's Day
2023-08-14,H.M. Queen Mother's Birthday (in lieu)
2023-09-24,Prince Mahidol Day
2023-10-13,The Passing of King Bhumibol
2023-10-23,Chulalongkorn Day
2023-12-05,King Bhumibol's Birthday
2023-12-05,Father's Day
2023-12-10,Thailand Constitution Day
2023-12-11,Thailand Constitution Day (in lieu)
2023-12-29,Public Holiday
2023-12-31,New Year's Eve
2024-01-01,New Year's Day
2024-02-24,Makha Bucha
2024-02-26,Makha Bucha (in lieu)
2024-04-06,Chakri Day
2024-04-08,Chakri Day (in lieu)
2024-04-12,Extra holiday for Songkran
2024-04-13,Songkran
2024-04-14,Songkran
2024-04-15,Songkran
2024-04-16,Songkran
2024-05-01,Labour Day
2024-05-04,Coronation Day
2024-05-06,Coronation Day (in lieu)
2024-05-10,Royal Ploughing Ceremony
2024-05-22,Visakha Bucha Day
2024-06-03,H.M. Queen's Birthday
2024-07-20,Asahna Bucha Day
2024-07-22,Asahna Bucha Day (in lieu)
2024-07-22,Buddhist Lent (in lieu)
2024-07-29,H.M. King's Birthday
2024-08-12,Mother's Day
2024-08-12,H.M. Queen Mother's Birthday
2024-09-24,Prince Mahidol Day
2024-10-13,The Passing of King Bhumibol
2024-10-14,The Passing of King Bhumibol (in lieu)
2024-10-23,Chulalongkorn Day
2024-12-05,King Bhumibol's Birthday
2024-12-05,Father's Day
2024-12-10,Thailand Constitution Day
2024-12-30,New Year Holiday
2024-12-31,New Year's Eve
2025-01-01,New Year's Day
2025-02-12,Makha Bucha
2025-04-06,Chakri Day
2025-04-07,Chakri Day (in lieu)
2025-04-13,Songkran
2025-04-14,Songkran
2025-04-15,Songkran
2025-04-16,Songkran
2025-05-01,Labour Day
2025-05-04,Coronation Day
2025-05-05,Coronation Day (in lieu)
2025-05-09,Royal Ploughing Ceremony
2025-05-11,Visakha Bucha Day
2025-05-12,Visakha Bucha Day (in lieu)
2025-06-02,H.M. Queen's Birthday Holiday
2025-06-03,H.M. Queen's Birthday
2025-07-10,Asahna Bucha Day
2025-07-11,Buddhist Lent
2025-07-28,H.M. King's Birthday
2025-08-11,H.M. Queen Mother's Birthday Holiday
2025-08-12,H.M. Queen Mother's Birthday
2025-08-12,Mother's Day
2025-09-24,Prince Mahidol Day
2025-10-13,The Passing of King Bhumibol
2025-10-23,Chulalongkorn Day
2025-12-05,Father's Day
2025-12-05,King Bhumibol's Birthday
2025-12-10,Thailand Constitution Day
2025-12-31,New Year's Eve
